model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma
simgp24,uncertainty,3,3,0.14928601177670223,1.0,0.7575757575757576,0.8620689655172413,33,0.8539325842696629,0.13455932276578977,0.9473684210526315,0.9101123595505618,0.1,0.6,1.0
simgp24,uncertainty,4,3,0.1226040416824755,1.0,0.59375,0.7450980392156863,32,0.7727272727272727,0.10016121637432898,0.7777777777777778,0.8863636363636364,0.1,0.6,1.0
simgp24,uncertainty,5,3,0.24328678792374508,0.4189189189189189,1.0,0.5904761904761905,31,0.19540229885057472,0.1522939024207945,1.0,0.9310344827586207,0.55,0.6,1.0
simgp24,uncertainty,6,3,0.24312844679859205,0.4166666666666667,1.0,0.5882352941176471,30,0.1511627906976744,0.1555625979668859,1.0,0.9302325581395349,0.55,0.6,1.0
simgp24,uncertainty,7,3,0.1739808213945367,0.7073170731707317,1.0,0.8285714285714285,29,0.3764705882352941,0.2145879144284027,1.0,0.3411764705882353,0.55,0.6,1.0
simgp24,uncertainty,8,3,0.1515414928410808,0.7777777777777778,1.0,0.8750000000000001,28,0.6428571428571429,0.2216639440301988,1.0,0.2976190476190476,0.55,0.6,1.0
simgp24,uncertainty,9,3,0.1844425043983529,0.6585365853658537,1.0,0.7941176470588235,27,0.6746987951807228,0.14983829189317746,1.0,0.9397590361445783,0.55,0.6,1.0
simgp24,uncertainty,10,3,0.17106523659119327,0.627906976744186,1.0,0.7714285714285715,27,0.6463414634146342,0.15063568032895425,1.0,0.9146341463414634,0.55,0.6,1.0
simgp24,uncertainty,11,3,0.17875699938735892,0.6341463414634146,1.0,0.7761194029850745,26,0.7160493827160493,0.14977219865039967,1.0,0.9382716049382716,0.55,0.6,1.0
simgp24,uncertainty,12,3,0.1519722375074616,0.6666666666666666,1.0,0.8,26,0.7375,0.15067626787257762,1.0,0.9375,0.55,0.6,1.0
simgp24,uncertainty,13,3,0.12973726523160653,0.6842105263157895,1.0,0.8125000000000001,26,0.7721518987341772,0.15096556889274215,1.0,0.9367088607594937,0.55,0.6,1.0
simgp24,uncertainty,14,3,0.12395273315591651,0.7142857142857143,1.0,0.8333333333333333,25,0.7692307692307693,0.14569470593795156,0.9285714285714286,0.9358974358974359,0.55,0.6,1.0
simgp24,uncertainty,15,3,0.17495173560360472,0.5581395348837209,1.0,0.7164179104477612,24,0.6753246753246753,0.12893836671524236,0.8571428571428571,0.948051948051948,0.55,0.6,1.0
simgp24,straddle,3,3,0.14928601177670223,1.0,0.7575757575757576,0.8620689655172413,33,0.8539325842696629,0.13455932276578977,0.9473684210526315,0.9101123595505618,0.1,0.6,1.0
simgp24,straddle,4,3,0.17302292750028267,0.9545454545454546,0.65625,0.7777777777777778,32,0.5795454545454546,0.14408333158486183,1.0,0.875,0.1,1.0,1.0
simgp24,straddle,5,3,0.1570465549934127,1.0,0.6774193548387096,0.8076923076923077,31,0.6206896551724138,0.10103252463039936,0.9411764705882353,0.8735632183908046,0.1,0.6,1.0
simgp24,straddle,6,3,0.13611126110799493,1.0,0.6333333333333333,0.7755102040816326,30,0.6162790697674418,0.09668871065066831,0.9411764705882353,0.8488372093023255,0.1,0.6,1.0
