model,strategy,n,seed,rmse_min,precision_min,recall_min,f1_min,n_true_viol_min,coverage90_min,coverage50_min,coverage80_min,coverage95_min,rmse_night,recall_night,coverage90_night,map_kb,map_kw,map_gamma,map_demand,map_rough,map_dose
simgp24,random,3,1,0.04186602558617323,0.9498861047835991,0.9608294930875576,0.9553264604810997,434,0.9550209205020921,0.8190376569037657,0.9414225941422594,0.9550209205020921,0.16315936065828032,0.7920792079207921,0.9717573221757322,0.55,0.3,1.0,1.0,0.9,1.05
simgp24_g75,random,3,1,0.05338610465509363,0.9666666666666667,0.9354838709677419,0.9508196721311476,434,0.893305439330544,0.7039748953974896,0.856694560669456,0.9069037656903766,,,,,,,,,
simgp_timeblind,random,3,1,0.23061686649105378,1.0,0.5046082949308756,0.6707503828483921,434,0.8336820083682008,,,,0.2839420963732193,0.6996699669966997,0.9027196652719666,,,,,,
mean_of_samples,random,3,1,0.42241204981891045,1.0,0.0,0.0,434,0.0,,,,0.4827773587766851,0.0,0.0,,,,,,
simgp24,random,4,1,0.05254813114761928,0.8884297520661157,0.9930715935334873,0.9378407851690295,433,0.9455497382198953,0.7287958115183246,0.9057591623036649,0.9528795811518325,0.13993063130875869,0.8576158940397351,0.9664921465968587,0.55,0.1,0.0,1.0,0.9,1.0
simgp24_g75,random,4,1,0.07320566059560094,0.9732620320855615,0.8406466512702079,0.9021065675340768,433,0.8575916230366493,0.47958115183246075,0.7895287958115184,0.8858638743455497,,,,,,,,,
simgp_timeblind,random,4,1,0.2898780981317594,1.0,0.5935334872979214,0.744927536231884,433,0.6628272251308901,,,,0.3115637218349687,0.7649006622516556,0.7926701570680629,,,,,,
mean_of_samples,random,4,1,0.3322411626770179,1.0,0.0,0.0,433,0.0,,,,0.4691468665185297,0.0,0.0,,,,,,
simgp24,random,5,1,0.049489899361083535,0.9122055674518201,0.9838337182448037,0.9466666666666667,433,0.9423480083857443,0.7547169811320755,0.9088050314465409,0.9528301886792453,0.1408813942615514,0.8576158940397351,0.9643605870020965,0.55,0.1,0.0,1.0,0.9,1.0
simgp24_g75,random,5,1,0.07946530314112873,0.9833795013850416,0.8198614318706697,0.8942065491183879,433,0.8197064989517819,0.3752620545073375,0.7138364779874213,0.8584905660377359,,,,,,,,,
