model,strategy,n,seed,rmse,mae,precision,recall,f1,n_true_viol,coverage90,map_kb,map_kw,map_gamma
nearest_sample,random,4,3,0.3701665576922873,0.2923753605624561,1.0,0.0,0.0,18,,,,
decay_only,random,4,3,0.2615417211283337,0.2148408832483394,1.0,0.0,0.0,18,,,,
simgp_core,random,5,3,0.12882009927760354,0.10415477976603014,0.7272727272727273,0.4444444444444444,0.5517241379310345,18,0.8390804597701149,0.1,1.0,1.0
physgp_core,random,5,3,0.2598915144356589,0.20773985946608178,1.0,0.0,0.0,18,0.40229885057471265,,,
physgp_rich,random,5,3,0.2814316498447513,0.22814366223483154,1.0,0.0,0.0,18,0.3448275862068966,,,
simgp_rich,random,5,3,0.14387966907152053,0.1054852581160379,0.7272727272727273,0.4444444444444444,0.5517241379310345,18,0.896551724137931,,,
pinn_rich,random,5,3,0.2778389307112829,0.21574739730233317,1.0,0.0,0.0,18,0.1839080459770115,,,
mean_of_samples,random,5,3,0.2602146818058828,0.21589505440286944,1.0,0.0,0.0,18,,,,
nearest_sample,random,5,3,0.37042537995829744,0.29296414491143996,1.0,0.0,0.0,18,,,,
decay_only,random,5,3,0.26239067458629306,0.21489586728081164,1.0,0.0,0.0,18,,,,
simgp_core,random,6,3,0.13239835241182837,0.10503176149953862,0.7272727272727273,0.4444444444444444,0.5517241379310345,18,0.8255813953488372,0.1,1.0,1.0
physgp_core,random,6,3,0.26229396654290965,0.21250996373135347,1.0,0.0,0.0,18,0.38372093023255816,,,
physgp_rich,random,6,3,0.30184293186767125,0.24810028915649848,1.0,0.0,0.0,18,0.313953488372093,,,
simgp_rich,random,6,3,0.1119494165955861,0.08232851955033411,0.7142857142857143,0.5555555555555556,0.6250000000000001,18,0.9651162790697675,,,
mean_of_samples,random,6,3,0.2608672142015144,0.216719296043211,1.0,0.0,0.0,18,,,,
nearest_sample,random,6,3,0.3725839324631922,0.29620461037040147,1.0,0.0,0.0,18,,,,
decay_only,random,6,3,0.2642815822456367,0.21706408820736167,1.0,0.0,0.0,18,,,,
simgp_core,random,7,3,0.12903523879738626,0.10236632818472065,0.7272727272727273,0.4444444444444444,0.5517241379310345,18,0.7411764705882353,0.1,1.0,1.0
physgp_core,random,7,3,0.2635605229533346,0.21438722983602038,1.0,0.0,0.0,18,0.36470588235294116,,,
physgp_rich,random,7,3,0.24788486068620313,0.19354834788307354,1.0,0.0,0.0,18,0.3411764705882353,,,
simgp_rich,random,7,3,0.10942174182905949,0.08271834187209033,0.8,0.6666666666666666,0.7272727272727272,18,0.9176470588235294,,,
mean_of_samples,random,7,3,0.26234498517716537,0.21920978630959567,1.0,0.0,0.0,18,,,,
nearest_sample,random,7,3,0.37366820575020393,0.29777068176709326,1.0,0.0,0.0,18,,,,
decay_only,random,7,3,0.26559888923820213,0.2192078135281084,1.0,0.0,0.0,18,,,,
simgp_core,random,8,3,0.14973465472817474,0.11940068813231874,0.7272727272727273,0.4444444444444444,0.5517241379310345,18,0.9047619047619048,0.1,1.0,1.0
physgp_core,random,8,3,0.2645962119201902,0.21573697984251558,1.0,0.0,0.0,18,0.35714285714285715,,,
physgp_rich,random,8,3,0.2881020061298472,0.233167594319721,1.0,0.0,0.0,18,0.32142857142857145,,,
simgp_rich,random,8,3,0.10451708058723662,0.08071124769296831,0.8,0.6666666666666666,0.7272727272727272,18,0.9166666666666666,,,
pinn_rich,random,8,3,0.2684381856804961,0.20877491949141433,1.0,0.0,0.0,18,0.21428571428571427,,,
mean_of_samples,random,8,3,0.2642482067644128,0.22102402252656742,1.0,0.0,0.0,18,,,,
nearest_sample,random,8,3,0.3609611440800639,0.28483860739218375,1.0,0.0,0.0,18,,,,
decay_only,random,8,3,0.2663146830580425,0.2200861463237073,1.0,0.0,0.0,18,,,,
